date,index_return_sh,index_return_sz,index_return_cyb,index_return_bse,limit_up_1st,limit_up_2nd,limit_up_3rd,limit_up_4th,limit_up_5th,limit_up_6th,limit_down,limit_up_20cm_1st,limit_up_20cm,limit_up_30cm_1st,limit_up_30cm
2024-11-14,-1.7282,-2.8303,-3.4042,-2.2478,17,6,1,2,0,1,17,2,0,1,1
2024-11-15,-1.4531,-2.6166,-3.912,-0.7535,36,5,3,1,1,1,23,8,1,3,1
2024-11-18,-0.2065,-1.9067,-2.3475,-3.6366,49,9,4,3,1,2,49,4,1,3,1
2024-11-19,0.6667,1.8951,2.9967,0.8892,65,7,3,2,0,2,11,8,0,1,0
2024-11-20,0.6569,0.7757,0.4984,3.0748,86,19,6,2,2,2,1,11,2,6,0
2024-11-21,0.0717,-0.0675,-0.0877,1.4194,49,19,9,4,1,4,1,7,1,4,2
2024-11-22,-3.0623,-3.5227,-3.985,-5.1594,26,9,9,9,2,3,7,6,1,2,1
2024-11-25,-0.105,-0.1744,-0.0178,-0.5091,92,19,5,6,6,3,14,6,2,3,0
2024-11-26,-0.1226,-0.8377,-1.1533,-3.9199,50,15,3,2,4,2,55,5,1,1,0
2024-11-27,1.5345,2.2537,2.7294,0.5686,61,9,2,1,1,4,15,12,1,3,1
2024-11-28,-0.4254,-1.264,-1.7647,-0.0991,49,18,6,1,1,3,5,5,1,2,0
2024-11-29,0.9333,1.7175,2.4979,3.0564,76,12,7,5,1,3,7,9,1,4,1
2024-12-02,1.1281,1.3648,1.4162,3.0506,83,25,7,5,3,4,5,14,4,2,2
2024-12-03,0.4407,-0.3995,-0.4433,0.1061,49,17,11,3,4,3,5,7,2,3,0
2024-12-04,-0.419,-1.0227,-1.4292,-2.1978,43,8,5,5,2,7,15,5,1,1,0
2024-12-05,0.125,0.2874,0.3637,0.9396,68,18,2,4,4,5,8,9,1,2,0
2024-12-06,1.0455,1.4749,2.053,-0.9672,57,19,5,1,2,6,5,5,1,0,0
2024-12-09,-0.0453,-0.553,-0.8132,-4.3097,59,8,8,3,1,2,18,7,2,0,0
2024-12-10,0.5915,0.7541,0.6859,2.3494,56,13,5,3,3,2,5,11,1,2,0
2024-12-11,0.2872,0.3315,-0.109,-1.413,82,17,6,4,0,3,7,10,1,0,0
2024-12-12,0.8451,1.002,1.3514,-1.3113,66,22,10,3,2,2,6,5,1,0,0
2024-12-13,-2.0113,-2.2274,-2.4818,-1.0735,52,10,6,5,3,1,11,7,1,0,0
2024-12-16,-0.1635,-1.2989,-1.5088,-3.4392,58,10,6,3,1,0,21,5,1,0,0
2024-12-17,-0.7337,-0.3451,-0.016,-3.2235,16,4,1,2,1,0,114,1,0,0,0
2024-12-18,0.6165,0.4445,0.0434,-0.5968,59,9,4,1,2,1,8,6,0,0,0
2024-12-19,-0.36,0.6119,0.5179,3.2754,37,6,2,2,0,2,17,13,1,0,0
2024-12-20,-0.0583,-0.0227,-0.1753,0.1765,53,10,2,0,1,1,11,4,2,1,0
2024-12-23,-0.4992,-1.0258,-0.9828,-2.6368,17,6,2,2,0,0,117,2,0,1,0
2024-12-24,1.2613,1.2719,1.1702,0.7801,51,7,2,1,2,0,14,7,0,0,0
2024-12-25,-0.0052,-0.6403,-0.5535,-3.7901,19,5,1,2,1,0,30,2,1,0,0
2024-12-26,0.1393,0.6684,0.3884,0.1433,61,11,3,0,1,1,6,10,0,1,0
2024-12-27,0.0608,-0.1311,-0.224,-1.2227,46,4,5,0,0,1,6,3,0,0,0
2024-12-30,0.2113,0.1049,0.063,-4.3933,23,3,2,3,0,0,13,2,0,0,0
2024-12-31,-1.6307,-2.4041,-2.9321,-0.7989,29,2,1,2,2,0,23,1,0,1,0
2025-01-02,-2.6614,-3.1355,-3.7894,-1.7278,34,10,1,0,1,2,12,3,0,0,0
2025-01-03,-1.5672,-1.8927,-2.1585,-0.1678,24,7,3,1,0,2,69,1,1,1,0
2025-01-06,-0.1403,-0.1158,-0.0882,-1.4265,33,9,2,2,0,0,54,3,0,1,0
2025-01-07,0.7085,1.1441,0.7034,2.0698,60,9,3,1,1,0,9,6,1,0,0
2025-01-08,0.0162,-0.5412,-0.9818,1.2673,34,9,5,2,1,1,4,4,2,2,0
2025-01-09,-0.5812,0.3154,0.1103,1.5549,52,10,3,3,2,2,3,6,2,1,0
2025-01-10,-1.3349,-1.8049,-1.7584,-2.7783,23,9,1,1,0,2,40,1,0,0,0
2025-01-13,-0.2452,0.0024,0.3622,-2.3474,32,4,3,0,0,1,29,2,0,0,0
2025-01-14,2.5369,3.7667,4.7061,10.77,94,8,4,3,0,1,0,8,0,4,0
2025-01-15,-0.4265,-1.0333,-1.8221,-0.2781,30,16,2,0,3,1,8,2,2,0,0
2025-01-16,0.2763,0.4072,0.6584,2.0356,36,6,10,1,0,3,4,3,1,0,0
2025-01-17,0.1789,0.5962,0.7763,-0.3908,37,5,1,6,0,1,12,4,0,0,0
2025-01-20,0.0789,0.9356,1.8117,0.236,45,9,3,0,3,0,10,3,0,0,0
2025-01-21,-0.0541,0.4807,0.3641,-0.5074,23,6,5,2,0,1,12,4,0,0,0
2025-01-22,-0.8943,-0.7745,-0.5376,-4.083,24,4,3,3,1,1,14,1,0,0,0
2025-01-23,0.5147,-0.486,-0.3675,-0.128,26,5,1,2,2,0,14,0,0,0,0
2025-01-24,0.6954,1.1454,1.3627,0.6003,43,6,2,1,2,1,10,8,0,1,0
2025-01-27,-0.0623,-1.3278,-2.7344,-1.9632,23,5,1,1,0,1,30,4,0,0,0
2025-02-05,-0.6495,0.0803,-0.0435,1.167,38,7,2,0,1,0,32,13,2,1,0
2025-02-06,1.2749,2.257,2.8029,5.5062,55,10,4,1,0,1,0,7,4,1,0
2025-02-07,1.0092,1.7546,2.5277,4.9581,43,10,7,3,1,1,1,6,2,2,0
2025-02-10,0.5601,0.5223,0.4381,3.3841,53,13,3,4,2,2,0,17,3,2,1
2025-02-11,-0.1238,-0.6925,-1.4261,2.0405,39,7,3,2,4,4,0,4,4,3,1
2025-02-12,0.8538,1.4327,1.8129,1.171,48,5,2,0,0,7,0,7,3,2,0
2025-02-13,-0.4155,-0.7681,-0.7119,-1.7553,33,9,2,1,0,2,2,6,1,0,0
2025-02-14,0.4274,1.1559,1.7987,-0.9654,42,4,3,1,1,2,6,14,3,2,0
2025-02-17,0.2721,0.387,0.5108,1.7597,53,10,1,2,1,1,6,7,3,1,1
2025-02-18,-0.9339,-1.6106,-1.9779,-2.2632,24,9,1,1,1,1,17,2,0,0,0
2025-02-19,0.8136,1.4636,2.0347,5.3637,77,5,4,0,0,1,2,10,0,1,0
2025-02-20,-0.0226,0.2032,-0.0628,1.4888,48,16,2,4,0,1,1,13,1,1,0
2025-02-21,0.8455,1.8234,2.513,2.7689,64,5,8,0,1,1,0,17,2,2,0
2025-02-24,-0.1801,-0.0757,-0.6692,0.1338,48,12,0,4,0,1,9,10,0,1,0
2025-02-25,-0.8001,-1.1704,-1.1321,-1.3997,31,7,7,0,1,0,4,5,0,1,0
2025-02-26,1.0213,0.9319,1.233,1.8523,66,5,3,6,0,0,0,6,0,1,0
2025-02-27,0.2322,-0.2569,-0.5161,0.9774,47,9,3,1,4,0,4,5,1,1,0
2025-02-28,-1.9824,-2.8942,-3.8164,-4.3246,25,7,2,0,0,1,44,5,0,2,1
2025-03-03,-0.1196,0.3614,1.2041,2.2735,47,4,3,1,0,0,24,2,0,3,0
2025-03-04,0.2196,0.2802,-0.2935,3.2371,50,6,2,1,0,0,8,7,0,1,1
2025-03-05,0.5341,0.2811,0.013,2.8209,41,9,2,0,1,0,3,6,0,1,0
2025-03-06,1.171,1.7675,2.0237,-1.4616,71,8,4,2,0,0,0,15,0,2,0
2025-03-07,-0.253,-0.5048,-1.3148,-0.4919,27,11,1,2,1,0,6,3,1,2,0
2025-03-10,-0.1893,-0.1663,-0.2462,1.8878,49,4,3,0,1,0,5,4,1,2,0
2025-03-11,0.406,0.3276,0.1888,0.0783,29,9,2,2,0,1,0,3,0,0,0
2025-03-12,-0.2339,-0.1652,-0.579,-0.6212,54,7,4,1,1,1,0,3,0,2,0
2025-03-13,-0.3913,-0.9871,-1.1529,-3.0743,22,4,3,3,0,1,11,5,0,3,1
2025-03-14,1.8112,2.255,2.803,3.1655,49,7,2,1,0,1,4,9,1,4,1
2025-03-17,0.192,-0.1866,-0.5205,1.8533,33,10,4,2,1,0,1,6,0,2,0
2025-03-18,0.106,0.5195,0.6102,0.4175,39,8,2,4,1,1,1,6,0,0,0
2025-03-19,-0.0971,-0.3241,-0.2826,-2.8458,23,8,4,1,2,1,3,2,0,0,0
2025-03-20,-0.5102,-0.9068,-1.0041,-2.7374,30,8,3,4,0,3,0,4,0,0,0
2025-03-21,-1.2942,-1.7642,-2.1706,-4.1745,24,6,5,2,1,1,20,0,2,0,0
2025-03-24,0.1545,0.0742,0.0128,0.942,27,6,2,2,1,0,27,4,1,1,0
2025-03-25,-0.0015,-0.4339,-0.3287,1.8605,31,7,3,0,0,0,31,6,0,1,0
2025-03-26,-0.038,-0.0494,-0.2599,-0.1525,52,3,3,2,0,0,1,8,1,0,0
2025-03-27,0.15,0.2281,0.2427,-0.6879,32,5,0,1,1,0,17,4,1,1,0
2025-03-28,-0.6652,-0.5696,-0.7872,-1.8533,23,5,1,0,0,0,20,2,0,0,0
2025-03-31,-0.4643,-0.971,-1.1517,-2.7067,19,6,1,1,0,0,25,5,0,0,0
2025-04-01,0.3804,-0.0064,-0.0866,0.4164,34,4,3,1,0,0,7,6,1,0,0
2025-04-02,0.0505,0.0901,0.1307,0.5182,29,4,1,0,1,0,10,2,0,0,0
2025-04-03,-0.2423,-1.4019,-1.8636,-0.8275,36,7,2,0,0,0,26,3,0,2,0
2025-04-07,-7.3438,-9.6591,-12.501,-17.9469,8,7,1,1,0,0,2633,2,1,1,0
2025-04-08,1.5815,0.6427,1.8319,4.8195,80,6,5,1,1,0,119,12,2,8,0
2025-04-09,1.3117,1.2225,0.9805,10.2668,62,11,2,4,1,1,6,14,2,9,0
2025-04-10,1.1556,2.2511,2.2693,4.856,101,9,6,0,2,1,0,9,3,3,1
2025-04-11,0.4526,0.8181,1.3598,1.485,48,9,4,2,0,1,7,12,0,0,0
2025-04-14,0.7591,0.507,0.3396,2.0636,67,7,3,0,1,1,2,7,0,0,0
2025-04-15,0.1488,-0.2651,-0.13,-0.3427,38,5,2,1,0,0,8,4,0,1,0
2025-04-16,0.2553,-0.8457,-1.2065,-1.1252,22,10,2,1,1,0,5,4,0,0,0
2025-04-17,0.1324,-0.1604,0.0874,0.9064,55,6,7,2,0,1,2,5,0,0,0
2025-04-18,-0.1101,0.2316,0.2721,1.9748,32,8,3,4,1,0,11,5,0,2,0
2025-04-21,0.4487,1.2665,1.5856,2.6309,67,8,2,2,2,1,4,11,0,0,0
2025-04-22,0.2529,-0.3581,-0.8171,-0.6423,41,15,2,1,2,1,5,5,0,0,0
2025-04-23,-0.1031,0.6661,1.075,0.4774,44,3,4,1,0,0,13,3,0,0,0
2025-04-24,0.0283,-0.5785,-0.6826,-3.4392,27,9,2,3,1,0,3,5,0,0,0
2025-04-25,-0.0676,0.3922,0.5852,-1.106,47,3,1,0,1,1,10,4,0,0,0
2025-04-28,-0.2017,-0.6238,-0.6537,-1.7812,25,7,0,1,0,0,33,4,0,0,0
2025-04-29,-0.0535,-0.0547,-0.13,1.2351,44,3,2,0,0,0,20,5,0,0,0
2025-04-30,-0.232,0.5078,0.8327,2.9647,50,6,0,2,0,0,9,3,1,1,0
2025-05-06,1.1309,1.8436,1.9702,3.213,67,12,2,0,1,0,2,8,1,2,0
2025-05-07,0.8007,0.2162,0.5085,-0.4608,32,13,4,1,0,1,0,5,3,1,0
2025-05-08,0.2791,0.9257,1.65,0.9767,41,5,4,2,0,0,3,9,1,0,0
2025-05-09,-0.2982,-0.6946,-0.8714,-0.1171,19,5,4,3,0,0,5,2,0,0,0
2025-05-12,0.8152,1.7215,2.6318,2.8866,34,3,1,3,1,0,0,6,0,0,0
2025-05-13,0.167,-0.1269,-0.1188,-0.9391,32,4,3,0,3,0,1,3,1,0,0
2025-05-14,0.8616,0.6429,1.0125,1.076,36,9,1,2,0,2,0,3,1,2,0
2025-05-15,-0.6794,-1.6203,-1.9152,-0.3842,23,7,6,0,2,1,3,6,0,0,0
2025-05-16,-0.3952,-0.0673,-0.1861,0.4918,39,7,1,3,0,1,3,3,1,0,0
2025-05-19,0.0036,-0.0836,-0.328,2.3733,49,16,2,0,1,1,1,6,1,0,0
2025-05-20,0.3829,0.7677,0.7725,1.2226,39,13,6,2,0,0,7,5,3,1,0
2025-05-21,0.2099,0.4395,0.8265,0.3947,30,4,6,1,2,0,3,2,3,1,0
2025-05-22,-0.218,-0.7247,-0.9598,-6.1478,22,6,1,3,0,0,12,3,2,0,0
2025-05-23,-0.9413,-0.8533,-1.1765,-1.3529,23,7,2,0,1,0,8,7,0,0,0
2025-05-26,-0.0458,-0.4071,-0.8034,1.9374,40,5,3,1,0,0,1,6,1,1,0
2025-05-27,-0.1838,-0.6149,-0.679,0.0755,36,11,3,3,1,0,1,2,2,0,0
2025-05-28,-0.0226,-0.2577,-0.3143,-1.3891,34,9,5,1,1,0,5,4,0,0,0
2025-05-29,0.704,1.239,1.3683,2.7291,63,11,5,2,1,1,5,14,2,2,0
2025-05-30,-0.4745,-0.8549,-0.962,-0.5054,24,10,2,2,0,0,15,1,2,0,1
2025-06-03,0.4328,0.1648,0.4773,1.0265,43,9,3,2,1,0,6,7,0,1,0
2025-06-04,0.4232,0.8691,1.1102,1.0953,45,14,4,0,1,0,2,3,1,0,0
2025-06-05,0.2339,0.5808,1.1695,-0.2856,47,6,3,1,0,0,5,5,1,1,0
2025-06-06,0.0372,-0.1941,-0.4481,-0.5275,31,5,4,2,1,0,4,2,0,0,0
2025-06-09,0.4258,0.6524,1.0716,1.0831,40,8,0,2,2,1,2,8,0,1,0
2025-06-10,-0.4399,-0.8581,-1.1653,-1.0113,20,8,4,0,1,1,2,4,0,2,0
2025-06-11,0.517,0.825,1.2073,-0.001,37,3,2,2,0,1,6,2,1,1,0
2025-06-12,0.0101,-0.1141,0.2564,-0.2474,36,11,2,1,0,1,0,7,1,0,0
2025-06-13,-0.7542,-1.0965,-1.1286,-2.9235,34,3,4,0,0,0,8,10,0,0,0
2025-06-16,0.3474,0.4093,0.6605,1.8382,30,11,0,1,0,0,3,7,3,0,0
2025-06-17,-0.0391,-0.1193,-0.3587,-0.3984,29,5,5,0,0,0,5,3,0,0,0
2025-06-18,0.0414,0.238,0.2334,-0.6495,21,4,2,5,0,0,9,7,0,0,0
2025-06-19,-0.7879,-1.2149,-1.3584,-1.9843,22,3,1,0,2,0,12,3,2,0,0
2025-06-20,-0.0658,-0.4669,-0.835,-1.3418,25,3,2,1,0,1,13,2,1,1,0
2025-06-23,0.6454,0.4334,0.3851,1.5353,40,9,3,1,1,1,0,6,0,0,0
2025-06-24,1.1528,1.6842,2.3047,3.6455,46,5,5,2,0,1,17,7,1,1,0
2025-06-25,1.0351,1.7234,3.1131,1.3826,32,12,2,2,2,1,2,10,1,1,0
2025-06-26,-0.2176,-0.4834,-0.6562,-0.909,32,11,5,1,1,0,1,8,2,1,0
2025-06-27,-0.7025,0.3391,0.4691,1.0574,33,3,2,2,0,0,3,8,0,0,0
2025-06-30,0.5899,0.8341,1.3496,0.5249,52,4,3,1,2,0,5,8,2,0,0
2025-07-01,0.3868,0.1068,-0.2366,0.6833,35,12,1,1,0,0,5,6,0,1,0
2025-07-02,-0.0855,-0.6077,-1.1267,-1.2299,36,3,7,0,1,0,7,6,0,1,0
2025-07-03,0.184,1.1712,1.9009,0.2096,38,8,1,2,0,1,3,5,0,0,0
2025-07-04,0.3227,-0.2451,-0.3629,-1.8808,23,5,1,1,0,0,10,5,0,0,0
2025-07-07,0.0233,-0.6971,-1.208,-0.9273,41,7,4,0,0,0,2,10,0,0,0
2025-07-08,0.701,1.4651,2.389,1.3604,42,8,2,3,0,0,1,6,1,0,0
2025-07-09,-0.1265,-0.0623,0.1649,-0.748,25,9,3,1,3,0,2,8,0,0,0
2025-07-10,0.4762,0.4662,0.2244,-0.1554,41,7,3,2,0,2,5,1,2,1,0
2025-07-11,0.0141,0.6111,0.8001,0.8975,33,9,4,1,1,0,6,5,1,1,0
2025-07-14,0.2699,-0.1083,-0.4544,0.5461,38,10,4,1,0,0,10,5,1,0,0
2025-07-15,-0.4163,0.562,1.7287,-1.1515,27,6,4,0,0,0,15,1,1,0,0
2025-07-16,-0.0349,-0.2211,-0.2172,0.2732,37,7,1,2,0,0,5,4,1,0,0
2025-07-17,0.3724,1.4254,1.7547,0.8568,31,11,2,0,0,0,1,6,1,0,0
2025-07-18,0.5021,0.3699,0.3448,-0.6654,25,5,2,0,0,0,1,4,1,1,0
2025-07-21,0.716,0.8581,0.8665,2.3779,84,6,3,0,0,0,1,12,1,3,0
2025-07-22,0.62,0.8389,0.6083,0.4487,33,40,2,2,0,0,2,3,7,1,3
2025-07-23,0.0122,-0.3675,-0.008,-1.5849,20,0,19,1,0,0,5,3,2,0,1
2025-07-24,0.654,1.2119,1.5016,1.0959,47,3,0,11,0,0,0,5,2,0,1
2025-07-25,-0.3348,-0.2226,-0.2265,0.5174,29,3,2,0,2,0,9,4,0,1,0
2025-07-28,0.1191,0.4427,0.9634,-0.2475,42,3,0,1,0,0,5,5,0,0,0
2025-07-29,0.3273,0.6403,1.8621,0.6836,27,6,0,0,0,0,2,5,1,0,0
2025-07-30,0.1664,-0.7651,-1.6168,-1.7524,31,6,4,0,0,0,7,5,0,0,0
2025-07-31,-1.1757,-1.7251,-1.6628,-1.1647,22,6,3,1,0,0,6,7,1,0,0
2025-08-01,-0.371,-0.1676,-0.2442,-0.2291,21,7,2,0,0,0,7,5,1,0,0
2025-08-04,0.6561,0.4571,0.5036,0.9604,34,4,2,1,0,0,2,9,1,0,0
2025-08-05,0.9569,0.5923,0.3878,0.2467,33,6,1,2,0,0,1,7,0,0,0
2025-08-06,0.4533,0.6377,0.6648,1.5821,32,6,4,1,1,0,4,12,1,0,0
2025-08-07,0.1561,-0.1775,-0.6822,-0.0034,36,4,4,4,1,0,8,9,1,0,0
2025-08-08,-0.1247,-0.2623,-0.38,-1.2154,41,5,0,3,1,0,2,9,1,0,0
2025-08-11,0.3416,1.4625,1.9648,1.1788,50,14,2,0,0,0,4,10,1,0,0
2025-08-12,0.5037,0.5332,1.243,-0.6234,25,13,5,1,0,0,4,6,0,0,0
2025-08-13,0.4787,1.7595,3.6153,0.8439,57,11,9,2,1,0,0,6,1,0,0
2025-08-14,-0.4621,-0.8651,-1.0755,-1.988,26,10,4,1,0,0,10,1,0,0,0
2025-08-15,0.8272,1.6001,2.6143,3.0379,56,6,7,0,1,0,2,11,0,1,0
2025-08-18,0.8455,1.7268,2.8404,6.7941,56,14,2,4,0,1,1,16,4,4,1
2025-08-19,-0.0198,-0.1178,-0.1711,1.2713,46,13,8,1,0,0,5,6,3,0,0
2025-08-20,1.0443,0.8892,0.2272,1.1581,62,11,1,2,1,0,14,5,0,1,0
2025-08-21,0.1298,-0.0585,-0.4674,-1.5954,29,5,2,1,1,0,11,2,0,0,0
2025-08-22,1.4495,2.0663,3.3554,0.6845,44,5,2,2,1,1,2,11,0,0,0
2025-08-25,1.5109,2.2604,2.9986,0.2337,54,8,1,1,0,1,2,7,1,1,0
2025-08-26,-0.3909,0.2581,-0.7551,-0.7552,51,10,2,0,0,1,1,5,1,0,0
2025-08-27,-1.7587,-1.4279,-0.6903,-2.6048,26,10,1,1,0,0,7,5,1,0,0
2025-08-28,1.138,2.2473,3.8181,0.2575,36,7,3,0,1,0,3,3,2,1,0
2025-08-29,0.3728,0.9926,2.2267,1.2752,45,5,2,1,0,1,11,8,0,0,0
2025-09-01,0.4563,1.046,2.2923,-0.3572,76,8,2,1,1,1,1,9,0,1,0
2025-09-02,-0.4489,-2.1445,-2.8465,0.3989,29,8,2,1,0,1,20,1,0,1,1
2025-09-03,-1.1554,-0.6519,0.9453,-1.4881,21,4,2,0,0,1,15,4,1,1,1
2025-09-04,-1.2503,-2.8327,-4.2466,-0.8034,27,5,1,0,0,0,31,1,0,1,1
2025-09-05,1.2384,3.8936,6.5532,5.1459,67,3,2,1,0,0,3,11,0,3,0
2025-09-08,0.3758,0.6058,-0.8429,1.7818,49,5,3,1,0,0,3,9,0,0,0
2025-09-09,-0.5108,-1.2335,-2.2255,-2.1006,38,5,1,1,1,1,5,1,0,0,0
2025-09-10,0.1295,0.3763,1.2657,-0.1611,34,8,1,0,0,2,3,3,0,0,0
